mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.598,0.729,1.129,0.202,0.757,0.274,2.362,6.078,0.0
16.443,0.74,0.949,0.192,0.747,0.265,2.152,5.803,0.0
16.043,0.755,0.96,0.2,0.705,0.273,2.137,6.115,0.0
16.183,0.72,0.994,0.198,0.774,0.271,2.237,6.637,0.0
16.247,0.74,0.997,0.195,0.703,0.268,2.163,5.146,0.0
15.353,0.757,0.92,0.196,0.69,0.261,2.067,5.893,0.0
15.794,0.73,0.934,0.197,0.743,0.267,2.141,4.505,0.0
15.583,0.741,0.889,0.194,0.733,0.262,2.078,4.923,0.0
16.007,0.735,0.906,0.193,0.738,0.27,2.107,4.629,0.0
15.641,0.751,0.865,0.191,0.709,0.259,2.025,4.764,0.0
15.146,0.749,0.857,0.192,0.711,0.262,2.022,4.58,0.0
16.501,0.757,0.967,0.185,0.718,0.271,2.142,5.523,0.0
15.568,0.746,1.038,0.207,0.714,0.253,2.212,4.629,0.0
16.231,0.737,0.981,0.192,0.737,0.263,2.173,5.051,0.0
16.007,0.731,0.878,0.183,0.748,0.262,2.071,4.576,0.0
16.327,0.746,0.979,0.197,0.74,0.265,2.181,5.05,0.0
15.846,0.748,0.874,0.198,0.703,0.262,2.037,4.717,0.0
15.806,0.752,0.88,0.192,0.689,0.253,2.013,4.502,0.0
15.622,0.754,0.995,0.201,0.703,0.262,2.161,4.846,0.0
15.208,0.743,1.005,0.192,0.735,0.265,2.198,4.81,0.0
16.067,0.749,0.893,0.192,0.696,0.255,2.036,4.623,0.0
15.653,0.75,0.865,0.186,0.681,0.257,1.989,4.658,0.0
15.2,0.754,0.922,0.191,0.691,0.272,2.076,4.64,0.0
16.058,0.732,0.99,0.195,0.717,0.263,2.164,4.717,0.0
16.223,0.734,0.92,0.19,0.755,0.254,2.12,4.577,0.0
16.261,0.746,0.978,0.197,0.71,0.256,2.141,4.782,0.0
15.795,0.742,0.882,0.193,0.732,0.258,2.064,4.833,0.0
