epoch,loss,val_loss
0,107.88825404390376,108.61335754394531
1,110.85249994156209,108.43252563476562
2,99.93794875449322,32.443904876708984
3,28.87857822661704,14.521358489990234
4,13.18638584461618,10.146490097045898
5,12.003142843855189,9.441603660583496
6,11.570048352505298,8.826560974121094
7,10.510530816747787,7.393000602722168
8,8.972897326692621,6.887796878814697
9,8.401590874854554,6.659280300140381
0,8.480225248539702,6.675905227661133
1,8.949621829580753,6.875446319580078
2,8.549286862637134,6.791812419891357
3,8.44249236330073,6.745035648345947
4,7.468611666496764,6.5481276512146
5,8.211228583721404,6.727805137634277
6,7.6954768363465655,6.5260467529296875
7,7.800391978405892,6.374185085296631
8,7.818841761731087,6.315772533416748
9,8.980637814136262,6.466955661773682
10,8.158657723284783,6.402755260467529
11,7.718232591101464,6.427384853363037
12,7.611212943462616,6.342492580413818
13,7.524248914515718,6.1090593338012695
14,7.267720009418244,6.147481918334961
15,7.225042667794735,5.9805145263671875
16,7.172618632620954,5.939153671264648
17,6.780408341833886,5.916940212249756
18,6.55499183370712,5.715149402618408
19,6.553838597967269,5.552910804748535
20,6.417177149590025,5.607330322265625
21,6.440065596966034,5.535673141479492
22,6.351484379869826,5.5069451332092285
23,6.513962522466132,5.74491548538208
24,6.18698899289395,5.490029335021973
25,6.166160340004779,5.387742042541504
26,6.073294568569102,5.510679721832275
27,6.299927589741159,5.5629963874816895
28,5.749542703019812,5.67477560043335
29,6.088875709696019,5.441658973693848
30,5.951720298604762,5.306080341339111
31,5.822670307565243,5.410580158233643
32,5.7925476824983635,5.482781887054443
33,6.043347094921356,5.185379505157471
34,6.047820344884345,5.079188346862793
35,5.643610609338639,5.026910781860352
36,5.841820026965851,5.1443772315979
37,5.8484533999828585,5.572506427764893
38,5.790537905185781,4.951757431030273
39,5.847395856329736,4.945928573608398
40,5.698814899363416,4.809548377990723
41,5.608961156074037,4.760444164276123
42,5.459254153231357,5.0141401290893555
43,5.671984287018471,4.715831756591797
44,5.580371724798324,5.091870307922363
45,5.553596324109017,4.580162048339844
46,5.403432704032736,4.977436542510986
47,5.550757286396433,4.605872631072998
48,5.470378987332608,4.760008811950684
49,5.1421993742597865,4.617063522338867
50,5.287374293550532,4.4744744300842285
51,5.287893376451858,4.704961776733398
52,5.27483403429072,4.5388054847717285
53,5.1255408652285315,4.371271133422852
54,5.230936598270498,4.569023132324219
55,5.3236512224724954,4.8719916343688965
56,5.148669141404172,4.438249588012695
57,5.022708517439822,4.508373260498047
58,4.984001108940611,4.265658855438232
59,4.913120675594248,4.173666477203369
60,5.066933378260186,4.130136966705322
61,4.62301366887194,4.19262170791626
62,5.195746239195478,4.519915580749512
63,5.162712797205499,4.294404983520508
64,4.868491233663356,4.074954509735107
65,4.792236855689516,4.0755133628845215
66,4.898133957639653,4.353239059448242
67,4.646852807795748,4.502241134643555
68,4.823406726755994,4.252534866333008
69,4.841879033027811,4.0625152587890625
70,4.6590515501955725,3.9870471954345703
71,4.812104752723207,4.001330375671387
72,4.7613734793155755,4.647538185119629
73,4.89470925229661,4.025193691253662
74,4.656111605623935,4.161147594451904
75,4.6285199003016695,3.9511325359344482
76,4.39324273454382,4.0993571281433105
77,4.403080828646396,3.9809420108795166
78,4.98373479031502,3.952206611633301
79,4.528069709209686,4.243355751037598
80,4.517835850411273,4.074069976806641
81,4.378981346779681,3.902709484100342
82,4.141477452947738,3.841099977493286
83,4.494300436466299,3.8397812843322754
84,4.264918540386444,3.8534793853759766
85,4.481730288647591,3.8785457611083984
86,4.353668770891555,3.8512191772460938
87,4.534507528264472,3.813744068145752
88,4.503547222056287,3.794748544692993
89,4.193486731103126,3.7800207138061523
90,4.421518396823965,3.7571046352386475
91,4.093698146495413,3.753239631652832
92,4.407424997776113,3.7631843090057373
93,4.343860423311274,3.7856297492980957
94,4.229607328455499,3.7950258255004883
95,4.362694192439951,3.7805910110473633
96,4.205999922245107,3.7393221855163574
97,4.228261354121756,3.750286102294922
98,4.151400505228246,3.7222955226898193
99,4.321182910432207,3.7310478687286377
0,83.99280376899533,19.873376617431642
1,15.774470934053747,10.558581314086915
2,12.37345483361221,9.858586311340332
3,11.319449006057367,8.787061424255372
